AssignmentId,WorkerId,HITId,AutoApprovalTime,AcceptTime,SubmitTime,Answer,ATime,STime,Sentiment,GroundTruth,AI_label,MinDiff,SecDiff
3FIJLY1B69ZJXA85Z12YBYI0JZ9PFD,A2XEZ2RZUS2NMI,3NFWQRSHWS8BYDHD6G79S59TS6IFG4,2023-03-05 12:37:41-05:00,2023-02-03 12:37:05-05:00,2023-02-03 12:37:41-05:00,Positive,2023-02-03 12:37:05-05:00,2023-02-03 12:37:41-05:00,4,5,4,0.6,36.0
3PIWWX1FJY13G1R3NEOZT0OG37KJJA,A2XEZ2RZUS2NMI,3A9LA2FRX686YV39QGVDJCL1BBRHXW,2023-03-05 12:34:34-05:00,2023-02-03 12:34:23-05:00,2023-02-03 12:34:34-05:00,Positive,2023-02-03 12:34:23-05:00,2023-02-03 12:34:34-05:00,4,3,3,0.18333333333333332,11.0
31N2WW6R96LCQL3I135RYVFZE3S3FQ,A2044KE1LDC77D,3A9LA2FRX686YV39QGVDJCL1BBRHXW,2023-03-08 13:37:35-05:00,2023-02-06 13:37:28-05:00,2023-02-06 13:37:35-05:00,Neutral,2023-02-06 13:37:28-05:00,2023-02-06 13:37:35-05:00,3,3,3,0.11666666666666667,7.0
33NF62TLXYXYRLXL5ZOBUFOTIWKJK9,A2XEZ2RZUS2NMI,3LOJFQ4BPB9J2FZ051XY2XY1NAJKD1,2023-03-05 12:36:17-05:00,2023-02-03 12:35:45-05:00,2023-02-03 12:36:17-05:00,Negative,2023-02-03 12:35:45-05:00,2023-02-03 12:36:17-05:00,2,2,2,0.5333333333333333,32.0
3WT783CTPQCAQ4NLPUUW88S85IPCBR,A5G7GQDKA3BRJ,36JW4WBR1KEPY9COQMPRD5LU76VFH3,2023-03-10 13:32:52-05:00,2023-02-08 13:32:24-05:00,2023-02-08 13:32:52-05:00,Negative,2023-02-08 13:32:24-05:00,2023-02-08 13:32:52-05:00,2,1,2,0.4666666666666667,28.0
3DHE4R9OCB6TJ33U8NX4X6AJ94IG2H,A1CFIFCWT9WGJW,3YLTXLH3ET01PM1I4PLWPZZY9CIPHG,2023-03-05 21:56:32-05:00,2023-02-03 21:56:15-05:00,2023-02-03 21:56:32-05:00,Negative,2023-02-03 21:56:15-05:00,2023-02-03 21:56:32-05:00,2,1,2,0.2833333333333333,17.0
3X73LLYYQG938LNYECD6AUPIZZMNHE,A1CFIFCWT9WGJW,3AJA9FLWTQSPU4N8W47CDHM97JAFIW,2023-03-05 21:56:55-05:00,2023-02-03 21:56:36-05:00,2023-02-03 21:56:55-05:00,Positive,2023-02-03 21:56:36-05:00,2023-02-03 21:56:55-05:00,4,4,4,0.31666666666666665,19.0
3YT88D1N0NTN67VW2EWOE874MYQK3O,A2XEZ2RZUS2NMI,3CRWSLD92YY5W0QSGMOUS424GTLMO5,2023-03-04 11:13:11-05:00,2023-02-02 11:13:09-05:00,2023-02-02 11:13:11-05:00,Positive,2023-02-02 11:13:09-05:00,2023-02-02 11:13:11-05:00,4,5,4,0.03333333333333333,2.0
3HUTX6F6V9IHBGKSW6AC2FJL0QJ2O0,AOSDB00WXVME4,3CRWSLD92YY5W0QSGMOUS424GTLMO5,2023-03-08 12:12:09-05:00,2023-02-06 12:12:01-05:00,2023-02-06 12:12:09-05:00,Positive,2023-02-06 12:12:01-05:00,2023-02-06 12:12:09-05:00,4,5,4,0.13333333333333333,8.0
3P59JYT760FXO8P0SNWBWPP8ZYV2TH,A1CFIFCWT9WGJW,366FYU4PUUJOULD01W8I8FGMNMKKEU,2023-03-06 20:00:53-05:00,2023-02-04 20:00:50-05:00,2023-02-04 20:00:53-05:00,Neutral,2023-02-04 20:00:50-05:00,2023-02-04 20:00:53-05:00,3,3,3,0.05,3.0
3SNLUL3WOJIIP7QX2Y4QGHAJODPULN,A2FEJ4U14OS2M6,3NFWQRSHWS8BYDHD6G79S59TS6IFG4,2023-03-13 11:55:13-04:00,2023-02-11 10:54:52-05:00,2023-02-11 10:55:13-05:00,Negative,2023-02-11 10:54:52-05:00,2023-02-11 10:55:13-05:00,2,5,4,0.35,21.0
37TD41K0AW497Q4N0GGRYX2897RCSA,A1LVC67FCZ7VVZ,3NFWQRSHWS8BYDHD6G79S59TS6IFG4,2023-03-13 12:59:38-04:00,2023-02-11 11:59:32-05:00,2023-02-11 11:59:38-05:00,Positive,2023-02-11 11:59:32-05:00,2023-02-11 11:59:38-05:00,4,5,4,0.1,6.0
3DY4FPOOAGJT5KAAC8BRYFL18CNRVZ,A2FEJ4U14OS2M6,3A9LA2FRX686YV39QGVDJCL1BBRHXW,2023-03-13 11:54:48-04:00,2023-02-11 10:54:15-05:00,2023-02-11 10:54:48-05:00,Neutral,2023-02-11 10:54:15-05:00,2023-02-11 10:54:48-05:00,3,3,3,0.55,33.0
3BV8HQ2ZZBWGRD9S9PHXRXGSRF9A6K,A1LVC67FCZ7VVZ,3A9LA2FRX686YV39QGVDJCL1BBRHXW,2023-03-13 12:59:31-04:00,2023-02-11 11:59:26-05:00,2023-02-11 11:59:31-05:00,Positive,2023-02-11 11:59:26-05:00,2023-02-11 11:59:31-05:00,4,3,3,0.08333333333333333,5.0
37Q970SNZT3PKNUPKJR7H1JH59RS1P,AKRSGDIINGMP5,3LOJFQ4BPB9J2FZ051XY2XY1NAJKD1,2023-03-11 22:38:19-05:00,2023-02-09 22:38:03-05:00,2023-02-09 22:38:19-05:00,Positive,2023-02-09 22:38:03-05:00,2023-02-09 22:38:19-05:00,4,2,2,0.26666666666666666,16.0
3R5F3LQFVHF7HRN4LDJQPQTSL09ZOY,A2FEJ4U14OS2M6,3LOJFQ4BPB9J2FZ051XY2XY1NAJKD1,2023-03-13 11:58:09-04:00,2023-02-11 10:57:54-05:00,2023-02-11 10:58:09-05:00,Neutral,2023-02-11 10:57:54-05:00,2023-02-11 10:58:09-05:00,3,2,2,0.25,15.0
3VE8AYVF81SYRI9ODK0NPCNAUQCF8O,A1LVC67FCZ7VVZ,3LOJFQ4BPB9J2FZ051XY2XY1NAJKD1,2023-03-13 12:59:19-04:00,2023-02-11 11:53:57-05:00,2023-02-11 11:59:19-05:00,Neutral,2023-02-11 11:53:57-05:00,2023-02-11 11:59:19-05:00,3,2,2,5.366666666666666,322.0
3FE7TXL1LXIKWSX8BJ2GRKELFST2Q2,A2FEJ4U14OS2M6,3ZTE0JGGDSMSNEE13XUGP8XSMFHCOD,2023-03-13 11:57:31-04:00,2023-02-11 10:56:37-05:00,2023-02-11 10:57:31-05:00,Neutral,2023-02-11 10:56:37-05:00,2023-02-11 10:57:31-05:00,3,2,2,0.9,54.0
39OWYR0EPZMD6O06QOYHOPBCN5EYFK,A1LVC67FCZ7VVZ,3ZTE0JGGDSMSNEE13XUGP8XSMFHCOD,2023-03-13 12:52:08-04:00,2023-02-11 11:49:52-05:00,2023-02-11 11:52:08-05:00,Neutral,2023-02-11 11:49:52-05:00,2023-02-11 11:52:08-05:00,3,2,2,2.2666666666666666,136.0
3L4PIM1GQ8BA9E5FHJYB5EPVQTPRY8,A2FEJ4U14OS2M6,36JW4WBR1KEPY9COQMPRD5LU76VFH3,2023-03-13 11:57:51-04:00,2023-02-11 10:57:34-05:00,2023-02-11 10:57:51-05:00,Extremely Negative,2023-02-11 10:57:34-05:00,2023-02-11 10:57:51-05:00,1,1,2,0.2833333333333333,17.0
3LBXNTKX06QF59JJI6CNVFISI1Q9XY,A1LVC67FCZ7VVZ,36JW4WBR1KEPY9COQMPRD5LU76VFH3,2023-03-13 12:49:51-04:00,2023-02-11 11:49:19-05:00,2023-02-11 11:49:51-05:00,Extremely Negative,2023-02-11 11:49:19-05:00,2023-02-11 11:49:51-05:00,1,1,2,0.5333333333333333,32.0
33M4IA01QVWL99F5CNC9M0IMONVRX2,A2FEJ4U14OS2M6,3YLTXLH3ET01PM1I4PLWPZZY9CIPHG,2023-03-13 11:55:24-04:00,2023-02-11 10:55:16-05:00,2023-02-11 10:55:24-05:00,Extremely Negative,2023-02-11 10:55:16-05:00,2023-02-11 10:55:24-05:00,1,1,2,0.13333333333333333,8.0
3EQHHY4HQ7NLI0MHQ6Z2VDDVTFB5GB,A1LVC67FCZ7VVZ,3YLTXLH3ET01PM1I4PLWPZZY9CIPHG,2023-03-13 12:53:57-04:00,2023-02-11 11:53:51-05:00,2023-02-11 11:53:57-05:00,Extremely Negative,2023-02-11 11:53:51-05:00,2023-02-11 11:53:57-05:00,1,1,2,0.1,6.0
3MD9PLUKKX9PZ6NSKYJDA1TNVQ4ZNJ,A2FEJ4U14OS2M6,3AJA9FLWTQSPU4N8W47CDHM97JAFIW,2023-03-13 11:55:56-04:00,2023-02-11 10:55:40-05:00,2023-02-11 10:55:56-05:00,Positive,2023-02-11 10:55:40-05:00,2023-02-11 10:55:56-05:00,4,4,4,0.26666666666666666,16.0
3BWI6RSP7V42LQ4984OBTU6F75R7EB,A1LVC67FCZ7VVZ,3AJA9FLWTQSPU4N8W47CDHM97JAFIW,2023-03-13 12:53:50-04:00,2023-02-11 11:53:34-05:00,2023-02-11 11:53:50-05:00,Negative,2023-02-11 11:53:34-05:00,2023-02-11 11:53:50-05:00,2,4,4,0.26666666666666666,16.0
3KKG4CDWKXTO77V9YVAIY4LUP6L49E,A2FEJ4U14OS2M6,3CRWSLD92YY5W0QSGMOUS424GTLMO5,2023-03-13 11:59:08-04:00,2023-02-11 10:58:12-05:00,2023-02-11 10:59:08-05:00,Neutral,2023-02-11 10:58:12-05:00,2023-02-11 10:59:08-05:00,3,5,4,0.9333333333333333,56.0
3634BBTX03PRGOL1M6CE21HOXMHFIW,A1LVC67FCZ7VVZ,3CRWSLD92YY5W0QSGMOUS424GTLMO5,2023-03-13 12:59:26-04:00,2023-02-11 11:59:19-05:00,2023-02-11 11:59:26-05:00,Positive,2023-02-11 11:59:19-05:00,2023-02-11 11:59:26-05:00,4,5,4,0.11666666666666667,7.0
3907X2AHFF0ZWGWTB6NRRFOBAW72PB,A2FEJ4U14OS2M6,366FYU4PUUJOULD01W8I8FGMNMKKEU,2023-03-13 11:55:37-04:00,2023-02-11 10:55:27-05:00,2023-02-11 10:55:37-05:00,Extremely Negative,2023-02-11 10:55:27-05:00,2023-02-11 10:55:37-05:00,1,3,3,0.16666666666666666,10.0
3LEIZ60CDYU4A4JYJO08S0Y3Q1O9ZV,A1LVC67FCZ7VVZ,366FYU4PUUJOULD01W8I8FGMNMKKEU,2023-03-13 12:53:34-04:00,2023-02-11 11:52:08-05:00,2023-02-11 11:53:34-05:00,Negative,2023-02-11 11:52:08-05:00,2023-02-11 11:53:34-05:00,2,3,3,1.4333333333333333,86.0
3JW0YLFXR8BBS5R11CQT7GCW704WWH,A2FEJ4U14OS2M6,3RZS0FBRXY4A8EQ2IX7VE82IWKDCPU,2023-03-13 11:56:34-04:00,2023-02-11 10:55:59-05:00,2023-02-11 10:56:34-05:00,Negative,2023-02-11 10:55:59-05:00,2023-02-11 10:56:34-05:00,2,4,4,0.5833333333333334,35.0
3A4TN5196ZDKHHQ7PM4SUJV60WACHP,A1LVC67FCZ7VVZ,3RZS0FBRXY4A8EQ2IX7VE82IWKDCPU,2023-03-13 12:49:19-04:00,2023-02-11 11:48:48-05:00,2023-02-11 11:49:19-05:00,Negative,2023-02-11 11:48:48-05:00,2023-02-11 11:49:19-05:00,2,4,4,0.5166666666666667,31.0
3ZOTGHDK5X6AGF1QQLPITXWPYLASON,A29A6V8IJE8DQ7,3NFWQRSHWS8BYDHD6G79S59TS6IFG4,2023-03-13 18:49:59-04:00,2023-02-11 17:49:39-05:00,2023-02-11 17:49:59-05:00,Neutral,2023-02-11 17:49:39-05:00,2023-02-11 17:49:59-05:00,3,5,4,0.3333333333333333,20.0
3TUI152ZZQID77FCSF22M14GNMFQ19,A29A6V8IJE8DQ7,3A9LA2FRX686YV39QGVDJCL1BBRHXW,2023-03-13 18:49:09-04:00,2023-02-11 17:49:02-05:00,2023-02-11 17:49:09-05:00,Neutral,2023-02-11 17:49:02-05:00,2023-02-11 17:49:09-05:00,3,3,3,0.11666666666666667,7.0
3OCHAWUVG3FZM52AM33CLOW8TV2XKG,A29A6V8IJE8DQ7,3LOJFQ4BPB9J2FZ051XY2XY1NAJKD1,2023-03-13 18:49:02-04:00,2023-02-11 17:48:44-05:00,2023-02-11 17:49:02-05:00,Neutral,2023-02-11 17:48:44-05:00,2023-02-11 17:49:02-05:00,3,2,2,0.3,18.0
3AAJC4I4FVNTGGW750RLHUC6M6AJZA,A2CRQ0XPXN1P0K,3LOJFQ4BPB9J2FZ051XY2XY1NAJKD1,2023-03-15 14:34:00-04:00,2023-02-13 13:33:20-05:00,2023-02-13 13:34:00-05:00,Neutral,2023-02-13 13:33:20-05:00,2023-02-13 13:34:00-05:00,3,2,2,0.6666666666666666,40.0
3TVRFO09GZAA6BKS73FD0O9NIV7XLJ,A29A6V8IJE8DQ7,3ZTE0JGGDSMSNEE13XUGP8XSMFHCOD,2023-03-13 18:49:39-04:00,2023-02-11 17:49:32-05:00,2023-02-11 17:49:39-05:00,Neutral,2023-02-11 17:49:32-05:00,2023-02-11 17:49:39-05:00,3,2,2,0.11666666666666667,7.0
39RP059MEWONZQZC2JOAB4XKZXJMBB,A2CRQ0XPXN1P0K,3ZTE0JGGDSMSNEE13XUGP8XSMFHCOD,2023-03-15 14:33:11-04:00,2023-02-13 13:32:53-05:00,2023-02-13 13:33:11-05:00,Neutral,2023-02-13 13:32:53-05:00,2023-02-13 13:33:11-05:00,3,2,2,0.3,18.0
3QIYRE09YICS4A2KCNALI79BIBT1NY,A29A6V8IJE8DQ7,36JW4WBR1KEPY9COQMPRD5LU76VFH3,2023-03-13 18:48:32-04:00,2023-02-11 17:47:43-05:00,2023-02-11 17:48:32-05:00,Negative,2023-02-11 17:47:43-05:00,2023-02-11 17:48:32-05:00,2,1,2,0.8166666666666667,49.0
3TY7ZAOG5UFRPFWZJRE5CA9XJORK0I,A2CRQ0XPXN1P0K,36JW4WBR1KEPY9COQMPRD5LU76VFH3,2023-03-15 14:34:20-04:00,2023-02-13 13:34:07-05:00,2023-02-13 13:34:20-05:00,Negative,2023-02-13 13:34:07-05:00,2023-02-13 13:34:20-05:00,2,1,2,0.21666666666666667,13.0
3UWN2HHPUD0SYU1EP6P5E8WK8B5SN8,A29A6V8IJE8DQ7,3YLTXLH3ET01PM1I4PLWPZZY9CIPHG,2023-03-13 18:49:32-04:00,2023-02-11 17:49:27-05:00,2023-02-11 17:49:32-05:00,Negative,2023-02-11 17:49:27-05:00,2023-02-11 17:49:32-05:00,2,1,2,0.08333333333333333,5.0
3WS1NTTKED7G9T4LIGN8WXHSBS10FN,A29A6V8IJE8DQ7,3CRWSLD92YY5W0QSGMOUS424GTLMO5,2023-03-13 18:48:43-04:00,2023-02-11 17:48:33-05:00,2023-02-11 17:48:43-05:00,Neutral,2023-02-11 17:48:33-05:00,2023-02-11 17:48:43-05:00,3,5,4,0.16666666666666666,10.0
3OHYZ19UGR06GJFW9L3R8X2JCFDAOJ,A2CRQ0XPXN1P0K,3CRWSLD92YY5W0QSGMOUS424GTLMO5,2023-03-15 14:34:37-04:00,2023-02-13 13:34:24-05:00,2023-02-13 13:34:37-05:00,Neutral,2023-02-13 13:34:24-05:00,2023-02-13 13:34:37-05:00,3,5,4,0.21666666666666667,13.0
3KRVW3HTZ2GMGCGED5A51T7K3LVSM8,A29A6V8IJE8DQ7,366FYU4PUUJOULD01W8I8FGMNMKKEU,2023-03-13 18:49:27-04:00,2023-02-11 17:49:09-05:00,2023-02-11 17:49:27-05:00,Neutral,2023-02-11 17:49:09-05:00,2023-02-11 17:49:27-05:00,3,3,3,0.3,18.0
3A7Y0R2P23J4BLWS4I30K9WVE62XJH,A29A6V8IJE8DQ7,3RZS0FBRXY4A8EQ2IX7VE82IWKDCPU,2023-03-13 18:47:43-04:00,2023-02-11 17:46:59-05:00,2023-02-11 17:47:43-05:00,Neutral,2023-02-11 17:46:59-05:00,2023-02-11 17:47:43-05:00,3,4,4,0.7333333333333333,44.0
